'night'	'mouth'	'sandal'	'rag'	'drain'	'story'	'pass'	'hand'	'china'	'master'	'pay'	'doll'	'swear'	'lady'	'barn'	'deck'	'dead'	'ham'	'snow'	'night'	'show'	'mud'	'ship'	'dark'	'tea'	'full'	'lumber'	'wood'	'litter'	'moon'	'book'	'door'	'meat'	'back'	'sea'	'stair'	'check'	'rain'	'swim'	'race'	'snow'	'tomb'	'hand'	'head'	'bed'	'arm'	'guide'	'chess'	'trench'	'flag'	'tail'	'hall'	'gang'	'fog'	'farm'	'water'	'dead'	'tread'	'cross'	'door'	'skin'	'birth'	'dash'	'lamp'	'bomb'	'break'	'pad'	'tree'	'frost'	'ginger'	'life'	'shoe'	'cheek'	'stale'	'cross'	'block'	'bubble'	'house'	'girl'	'copy'	'pepper'	'jack'	'side'	'black'	'side'	'soul'	'king'	'court'	'land'	'girl'	'patch'	'back'	'pill'	'shoe'	'floor'	'work'	'short'	'class'	'corn'	'loop'	'camp'	'song'	'crow'	'hair'	'team'	'spit'	'news'	'whirl'	'dragon'	'stool'	'horse'	'dish'	'god'	'crafts'	'horse'	'foot'	'mail'	'pen'	'video'	'black'	'rail'	'free'	'door'	'crew'	'camp'	'lumber'	'heat'	'pocket'	'rose'	'pocket'	'brain'	'high'	'side'	'slide'	'tee'	'note'	'rain'	'heir'	'space'	'joy'	'tape'	'health'	'north'	'key'	'figure'	'pea'	'ear'	'flower'	'wood'	'flash'	'hump'	'butter'	'wall'	'wall'	'door'	'chatter'	'pitch'	'butter'	'river'	'rose'	'green'	'sketch'	'flood'	'hay'	'pawn'	'hand'	'base'	'foot'	'home'	'cork'	'scape'	'ear'	'turn'	'bulk'	'star'	'tear'	'fairy'	'over'	'honey'	'side'	'work'	'book'	'fan'	'snap'	'gang'	'news'	'pipe'	'water'	'farm'	'lamp'	'hair'	'candle'	'gun'	'post'	'litter'	'grave'	'sweat'	'band'	'church'	'sun'	'land'	'spot'	'blow'	'pin'	'rain'	'buck'	'flag'	'wood'	'court'	'rail'	'long'	'sand'	'rein'	'star'	'ox'	'earth'	'bath'	'whirl'	'paint'	'wash'	'catch'	'sail'	'house'	'ginger'	'cell'	'soy'	'cock'	'sea'	'tea'	'main'	'war'	'pine'	'pillow'	'dig'	'black'	'sun'	'cross'	'bow'	'scare'	'rain'	'coal'	'crow'	'blood'	'earth'	'corn'	'land'	'fire'	'soap'	'nose'	'hard'	'room'	'beef'	'table'	'grape'	'hog'	'hair'	'night'	'tooth'	'bull'	'key'	'side'	'paper'	'rag'	'blood'	'bee'	'clothes'	'whole'	'bed'	'boy'	'brides'	'spread'	'mine'	'ware'	'pass'	'tooth'	'god'	'dough'	'water'	'shoe'	'battle'	'hail'	'piece'	'rattle'	'south'	'class'	'black'	'day'	'chair'	'spy'	'high'	'wild'	'mouse'	'road'	'sand'	'birth'	'boot'	'sweep'	'head'	'body'	'bar'	'main'	'rest'	'club'	'eye'	'flap'	'block'	'net'	'log'	'nail'	'fort'	'stage'
97524	34157	146	3827	14860	96953	48574	124848	33442	54412	133802	5685	5027	25980	2575	28755	72864	6778	20209	97524	178842	11445	51299	71249	8688	155605	1363	24035	3353	30689	190905	53813	14861	393090	36736	924	170581	17801	5116	46405	20209	6175	124848	109089	31345	20427	53202	11301	1927	15311	11267	33443	7821	4787	10864	105961	72864	3379	29753	53813	24973	23367	3424	6657	15377	47766	7194	27218	6050	2692	219561	5209	3555	1399	29753	33257	5866	104153	40340	126341	5324	31462	112408	160756	112408	32352	52583	57767	75075	40340	25238	393090	2805	5209	35635	451298	95521	94260	4988	16305	15938	59801	4667	42603	108529	3740	149044	387	29320	1234	23855	7237	129944	2459	23855	24212	260346	7902	110183	160756	7339	244067	53813	15253	15938	1363	28372	10760	19326	10760	54113	185510	112408	10004	2108	131657	17801	1401	113076	11703	61126	60950	77220	95993	56510	943	11312	6288	24035	17727	767	6848	91869	91869	53813	874	8752	6848	27274	19326	90773	2053	9581	12769	1542	124848	59143	24212	190434	1394		11312	89685	7028	81633	6617	2344	452595	9093	112408	451298	190905	37452	8365	7821	149044	12205	105961	10864	6657	42603	2719	47274	275951	3353	7527	5086	49179	49074	74083	75075	19103	16920	24742	17801	6798	15311	24035	57767	7339	273917	10083	791	81633	1190	61680	5621	387	15964	8590	22587	3552	104153	2692	16077	3370	23323	36736	8688	74094	109438	7920	2110	8929	160756	74083	29753	7503	4294	17801	4838	4667	51801	61680	4988	75075	62707	8037	13919	176370	85138	5285	56081	1637	2408	42603	97524	3129	8305	95993	112408	64005	3827	51801	3288	14338	120697	31345	42823	599	22704	89230	1931	48574	3129	129944	3391	105961	5209	28733	3226	46129	1234	66282	94260	160756	239111	18589	5251	185510	23869	37838	66722	10083	23367	43868	3219	109089	116235	31561	74094	78610	63264	41052	1408	33257	117269	21912	4603	8420	30645
585.58	706.46	720.21	547.64	580.73	676.96	583.58	578.19	620.14	613.54	534.00	561.76	689.07	577.57	577.33	589.07	603.44	597.12	671.00	585.58	657.42	641.61	645.22	555.42	605.13	638.39	567.31	580.07	585.71	572.58	601.00	590.81	583.62	579.82	713.92	695.54	603.81	584.00	665.26	554.18	671.00	657.09	578.19	603.04	555.00	562.68	584.39	630.04	600.30	611.15	615.11	646.65	579.57	585.58	609.63	569.70	603.44	682.92	557.96	590.81	682.12	613.93	588.63	556.48	578.46	591.96	609.89	631.12	597.83	735.23	553.21	656.79	652.96	701.61	557.96	552.71	582.15	572.96	571.19	589.26	615.14	609.18	620.07	518.54	620.07	647.46	599.62	591.56	565.79	571.19	602.38	579.82	560.33	656.79	602.78	521.89	641.96	579.74	621.11	579.81	620.93	582.41	650.96	553.59	708.36	729.24	585.69	560.37	604.88	681.30	572.63	601.30	597.31	654.56	572.63	656.93	577.92	542.93	573.22	518.54	581.32	580.61	590.81	601.79	620.93	567.31	550.26	675.69	525.00	675.69	593.50	581.41	620.07	634.11	584.46	547.41	584.00	732.70	688.93	588.48	604.56	575.96	567.18	570.69	601.35	589.31	630.59	617.85	580.07	614.64	579.21	634.44	545.14	545.14	590.81	614.12	627.26	634.44	600.07	525.00	565.35	683.76	593.32	587.73	622.14	578.19	587.52	656.93	534.11	585.89		630.59	596.77	602.30	589.52	639.70	677.48	575.70	553.86	620.07	521.89	601.00	608.29	637.04	579.57	585.69	569.96	569.70	609.63	556.48	553.59	625.14	613.59	582.44	585.71	564.82	682.91	582.43	602.15	611.52	565.79	625.26	561.55	537.69	584.00	578.32	611.15	580.07	591.56	581.32	567.19	620.32	609.42	589.52	582.28	548.78	578.63	560.37	557.20	546.11	608.33	594.08	572.96	735.23	686.07	671.04	596.65	713.92	605.13	623.72	542.12	596.52	589.93	611.71	518.54	611.52	557.96	631.58	680.61	584.00	619.96	650.96	573.07	548.78	621.11	565.79	636.08	618.64	597.48	556.64	568.42	605.52	600.32	546.64	564.29	553.59	585.58	612.12	569.75	570.69	620.07	528.64	547.64	573.07	601.54	662.67	568.32	555.00	555.85	573.54	671.11	578.81	703.82	583.58	612.12	597.31	667.07	569.70	656.79	543.74	637.03	615.30	569.96	627.68	579.74	518.54	593.66	606.57	657.37	581.41	568.54	587.32	559.79	620.32	613.93	629.81	709.19	603.04	583.96	579.57	623.72	544.58	606.07	578.54	622.67	552.71	557.57	554.93	593.88	631.25	665.61
