'mare'	'wash'	'wood'	'time'	'pipe'	'teller'	'port'	'book'	'ware'	'mind'	'roll'	'house'	'word'	'bug'	'yard'	'hand'	'line'	'string'	'flake'	'light'	'case'	'slide'	'wreck'	'room'	'cup'	'back'	'jack'	'work'	'bug'	'light'	'store'	'step'	'ball'	'bone'	'link'	'case'	'list'	'fall'	'suit'	'horse'	'ball'	'stone'	'gun'	'ache'	'room'	'band'	'line'	'board'	'coat'	'ship'	'gate'	'mark'	'plank'	'horn'	'land'	'melon'	'lock'	'mill'	'road'	'knob'	'care'	'day'	'board'	'light'	'shell'	'water'	'lock'	'top'	'bite'	'snap'	'raft'	'box'	'bone'	'mate'	'piece'	'head'	'gum'	'hold'	'friend'	'right'	'mint'	'pot'	'burns'	'smith'	'board'	'mate'	'pin'	'yard'	'slide'	'friend'	'work'	'bone'	'box'	'lace'	'mat'	'bench'	'hand'	'mate'	'field'	'hole'	'site'	'book'	'bar'	'brush'	'work'	'fire'	'paper'	'pool'	'fly'	'pigeon'	'play'	'washer'	'child'	'man'	'radish'	'print'	'bag'	'pal'	'tape'	'jack'	'way'	'holder'	'bell'	'man'	'fire'	'yard'	'wave'	'knife'	'water'	'book'	'child'	'brow'	'line'	'show'	'top'	'book'	'storm'	'loom'	'craft'	'stick'	'worm'	'care'	'east'	'word'	'head'	'nut'	'lobe'	'pot'	'ship'	'back'	'back'	'fly'	'flower'	'paper'	'handle'	'box'	'fork'	'fly'	'side'	'bud'	'horn'	'pad'	'light'	'stack'	'broker'	'shake'	'ball'	'path'	'work'	'screw'	'goat'	'plug'	'coat'	'head'	'board'	'drop'	'land'	'pass'	'bee'	'light'	'shop'	'shelf'	'fare'	'dragon'	'land'	'letter'	'line'	'cress'	'house'	'shade'	'cut'	'light'	'shot'	'card'	'bin'	'yard'	'shop'	'wagon'	'goer'	'shine'	'mark'	'light'	'hard'	'prick'	'bow'	'wheat'	'pole'	'shed'	'room'	'road'	'hand'	'storm'	'deer'	'light'	'tail'	'worm'	'room'	'wind'	'brush'	'board'	'phrase'	'boat'	'wife'	'bread'	'phone'	'bean'	'tail'	'water'	'spoon'	'stay'	'head'	'apple'	'case'	'house'	'mail'	'light'	'word'	'string'	'crow'	'coat'	'mine'	'boy'	'stain'	'quake'	'flake'	'lord'	'wood'	'box'	'dive'	'shell'	'mate'	'steak'	'cloth'	'fruit'	'wash'	'spray'	'fall'	'ache'	'fight'	'hole'	'walk'	'back'	'weed'	'shot'	'line'	'line'	'sale'	'rock'	'friend'	'maid'	'sheet'	'field'	'house'	'word'	'paste'	'father'	'nut'	'table'	'shine'	'field'	'storm'	'meal'	'snake'	'west'	'room'	'list'	'light'	'person'	'glass'	'light'	'life'	'trap'	'side'	'castle'	'place'	'legger'	'stake'	'rest'	'guard'	'bell'	'land'	'room'	'mate'	'lid'	'jack'	'buster'	'work'	'jam'	'brush'	'night'	'coach'
1430	8590	24035	788823	12205	1272	62053	190905	1931	131156	21720	104153	138155	32226	7418	124848	239804	33204	634	96805	199506	10004	2161	85138	27792	393090	31462	451298	32226	96805	53126	43956	38502	16063	39054	199506	317096	46059	18276	23855	38502	33008	47274	846	85138	49179	239804	79617	10295	51299	16638	103559	595	9173	75075	759	18221	4853	66722	2049	104469	239111	79617	96805	37174	105961	18221	116571	8162	8365	841	171530	16063	5179	46129	109089	2607	71050	81053	388384	84435	13161	6687	45658	79617	5179	24742	7418	10004	81053	451298	16063	171530	3285	3514	5360	124848	5179	79920	25790	148790	190905	31561	5701	451298	62707	64005	16200	29393	900	149546	1011	64729	188876	139	61833	16427	12345	61126	31462	490087	5026	24815	188876	62707	7418	19212	7120	105961	190905	64729	804	239804	178842	116571	190905	19846	643	6908	28279	4110	104469	49098	138155	109089	4431	464	13161	51299	393090	393090	29393	6288	64005	46491	171530	11253	29393	112408	5259	9173	7194	96805	14654	4647	5292	38502	43722	451298	9543	2562	15792	10295	109089	79617	47322	75075	48574	3288	96805	27995	5669	5309	29320	75075	58299	239804		104153	6047	99104	96805	42214	222822	15831	7418	27995	3687		3206	103559	96805	176370	3224	7503	4108	5730	6227	85138	66722	124848	19846	4911	96805	11267	4110	85138	23685	5701	79617	12897	15857	38746	9063	141619	3575	11267	105961	2624	49009	109089	65844	199506	104153	260346	96805	138155	33204	4667	10295	89230	42823	1776	3997	634	38009	24035	171530	8177	37174	5179	1510	11191	10728	8590	5153	46059	846	40281	25790	33093	393090	3010	42214	239804	239804	95391	44285	81053	1714	17017	79920	104153	138155	6656	38034	4431	56081	3206	79920	19846	6528	5217	62838	85138	317096	96805	167439	20768	96805	219561	9424	112408	11629	195199		4529	78610	16067	24815	75075	85138	5179	2898	31462	2449	451298	10904	5701	97524	8817
662.35	546.11	580.07	606.11	569.96	602.23	645.67	601.00	703.82	616.32	569.71	572.96	571.15	588.11	559.19	578.19	614.61	758.26	671.43	578.32	634.25	634.11	620.11	568.42	548.37	579.82	609.18	521.89	588.11	578.32	648.00	673.33	570.44	592.00	547.93	634.25	548.71	583.35	673.44	572.63	570.44	662.88	613.59	663.50	568.42	582.43	614.61	607.33	562.00	645.22	622.18	548.68	695.39	621.22	565.79	617.96	545.81	604.43	559.79	606.83	576.32	593.66	607.33	578.32	627.12	569.70	545.81	526.43	581.31	637.04	575.54	557.07	592.00	593.48	615.30	603.04	610.85	558.32	599.67	567.46	556.80	597.56	584.43	704.12	607.33	593.48	537.69	559.19	634.11	599.67	521.89	592.00	557.07	551.39	583.23	581.79	578.19	593.48	605.85	577.86	647.00	601.00	579.57	558.04	521.89	636.08	528.64	574.55	598.25	667.56	566.08	591.96	588.85	579.21	672.04	606.18	524.89	601.00	604.56	609.18	580.00	620.21	600.32	579.21	636.08	559.19	548.11	588.92	569.70	601.00	588.85	610.35	614.61	657.42	526.43	601.00	639.42	605.48	567.89	705.70	586.76	576.32	672.26	571.15	603.04	611.61	540.76	597.56	645.22	579.82	579.82	598.25	617.85	528.64	600.85	557.07	631.18	598.25	620.07	622.37	621.22	609.89	578.32	732.07	589.19	639.52	570.44	579.41	521.89	700.14	571.54	569.11	562.00	603.04	607.33	594.81	565.79	583.58	601.54	578.32	572.96	624.00	588.96	604.88	565.79	566.44	614.61		572.96	672.46	601.81	578.32	590.92	579.86	578.79	559.19	572.96	602.29		630.00	548.68	578.32	556.64	559.11	631.58	607.48	606.48	638.14	568.42	559.79	578.19	639.42	633.19	578.32	615.11	586.76	568.42	601.04	558.04	607.33	626.65	617.04	516.32	600.41	562.21	638.00	615.11	569.70	629.58	648.70	603.04	608.78	634.25	572.96	577.92	578.32	571.15	758.26	650.96	562.00	578.81	555.85	657.40	592.33	671.43	572.57	580.07	557.07	563.59	627.12	593.48	720.93	620.26	594.43	546.11	696.19	583.35	663.50	581.27	577.86	540.61	579.82	567.61	590.92	614.61	614.61	612.93	554.46	599.67	566.25	637.30	605.85	572.96	571.15	621.60	659.04	611.61	600.32	630.00	605.85	639.42	666.95	692.13	583.61	568.42	548.71	578.32	547.11	589.93	578.32	553.21	577.12	620.07	608.59	617.71		652.77	544.58	596.11	600.32	565.79	568.42	593.48	580.50	609.18	595.88	521.89	632.18	558.04	585.58	602.42
